車次,出發時間,旅行時間,抵達時間
0803,06:15,02:25,08:40
0603,06:40,02:10,08:50
0805,07:00,02:25,09:25
0109,07:20,01:45,09:05
0609,07:35,02:10,09:45
0205,07:40,01:50,09:30
0809,08:00,02:25,10:25
0613,08:10,02:10,10:20
0113,08:20,01:45,10:05
0615,08:35,02:10,10:45
1307,08:50,02:10,11:00
0813,09:00,02:25,11:25
0619,09:10,02:10,11:20
0117,09:20,01:45,11:05
0621,09:35,02:10,11:45
0817,10:00,02:25,12:25
0625,10:10,02:10,12:20
0121,10:20,01:45,12:05
0627,10:35,02:10,12:45
0821,11:00,02:25,13:25
0125,11:20,01:45,13:05
0633,11:35,02:10,13:45
0825,12:00,02:25,14:25
0129,12:20,01:45,14:05
0639,12:35,02:10,14:45
0829,13:00,02:25,15:25
0133,13:20,01:45,15:05
0645,13:35,02:10,15:45
0833,14:00,02:25,16:25
0137,14:20,01:45,16:05
0651,14:35,02:10,16:45
0837,15:00,02:25,17:25
0141,15:20,01:45,17:05
0657,15:35,02:10,17:45
1321,15:50,02:10,18:00
0841,16:00,02:25,18:25
0661,16:10,02:10,18:20
0145,16:20,01:45,18:05
0663,16:35,02:10,18:45
1241,16:40,01:50,18:30
0845,17:00,02:25,19:25
0667,17:10,02:10,19:20
0149,17:20,01:45,19:05
0669,17:35,02:10,19:45
1245,17:40,01:50,19:30
0849,18:00,02:25,20:25
0673,18:10,02:10,20:20
0153,18:20,01:45,20:05
0675,18:35,02:10,20:45
0249,18:40,01:50,20:30
0853,19:00,02:25,21:25
1679,19:10,02:10,21:20
0157,19:20,01:45,21:05
0681,19:35,02:10,21:45
0857,20:00,02:25,22:25
0161,20:20,01:45,22:05
0687,20:35,02:10,22:45
0861,21:00,02:25,23:25
0165,21:20,01:45,23:05
0693,21:30,02:10,23:40
0333,21:45,02:10,23:55
0295,22:05,01:54,23:59
